longitude,latitude,id,group,type,name
-73.9386964,40.6869543,5605812654,2501,supermarket,Associated
-78.7340819,42.9776547,5608049272,2303,cafe,The SoupHerb Gourmet
-78.7327576,42.9767244,5608049281,2302,fast_food,Subway
-76.2057317,43.1033454,5608264933,2303,cafe,JT's Creamery and Cafe
-73.9996226,40.7265689,5611937541,2303,cafe,Birch Coffee
-73.9537223,40.7073204,5613044405,2303,cafe,The Fiction
-73.9553797,40.7345353,5614134321,2303,cafe,Sweetleaf Coffee
-73.9764073,40.744382,5615317878,2302,fast_food,Rocky's Pizzeria
-73.9902499,40.7129063,5616253137,2303,cafe,Mee Cafe
-73.9892273,40.7128315,5616255180,2302,fast_food,McDonald's
-74.025973,40.6355039,5617797691,2303,cafe,Coffee Rx
-73.8950355,40.7006149,5617844063,2516,butcher,Muncan Food Corporation
-73.9635992,40.7802595,5618064691,2303,cafe,American Wing Café
-73.9644503,40.7791519,5618087850,2303,cafe,Petrie Court Café
-73.9869135,40.7367673,5618177645,2303,cafe,Irving Farm Coffee Roasters
-73.7621214,40.7202222,5618660986,2302,fast_food,Dunkin'
-73.7603407,40.7204662,5618661933,2302,fast_food,Crown Fried Chicken
-73.761786,40.7206,5618663987,2501,supermarket,Foodtown
-73.8966934,40.7004673,5620002102,2302,fast_food,Dunkin' Donuts
-73.754266,42.6641254,5620531953,2303,cafe,KID Cafe
-73.9840455,40.6763209,5620571662,2303,cafe,Root Hill Cafe
-73.9790577,40.6427812,5620997777,2302,fast_food,Dunkin'
-73.9785967,40.6430023,5621032432,2501,supermarket,Carnival Fruits and Vegetables
-74.1233924,40.613203,5624326816,2501,supermarket,MET
-78.8759493,43.1477143,5624726898,2303,cafe,NCCC Snack Bar
-78.6884777,43.1707119,5624961914,2303,cafe,Scripts Cafe
-73.9223165,40.7068582,5625462945,2303,cafe,AP Cafe
-73.9537875,40.7794784,5625728960,2303,cafe,Starbucks
-73.9756775,40.6808478,5625774814,2303,cafe,Gorilla Coffee
-77.4428532,43.133924,5627391782,2302,fast_food,Dunkin' Donuts
-73.9494427,40.7846375,5627490317,2302,fast_food,Dunkin' Donuts / Baskin Robbins
